SubjectID,ImageID,Gender,Glasses,Reflections,Lighting,SensorID,Eye_state
s0001,1,0,0,0,0,1,0
s0001,2,0,0,0,0,1,0
s0001,3,0,0,0,0,1,0
s0001,4,0,0,0,0,1,0
s0001,5,0,0,0,0,1,0
s0001,6,0,0,0,0,1,0
s0001,7,0,0,0,0,1,0
s0001,8,0,0,0,0,1,0
s0001,9,0,0,0,0,1,0
s0001,10,0,0,0,0,1,0
s0001,11,0,0,0,0,1,0
s0001,12,0,0,0,0,1,0
s0001,13,0,0,0,0,1,0
s0001,14,0,0,0,0,1,0
s0001,15,0,0,0,0,1,0
s0001,16,0,0,0,0,1,0
s0001,17,0,0,0,0,1,0
s0001,18,0,0,0,0,1,0
s0001,19,0,0,0,0,1,0
s0001,20,0,0,0,0,1,0
s0001,21,0,0,0,0,1,0
s0001,22,0,0,0,0,1,0
s0001,23,0,0,0,0,1,0
s0001,24,0,0,0,0,1,0
s0001,25,0,0,0,0,1,0
s0001,26,0,0,0,0,1,0
s0001,27,0,0,0,0,1,0
s0001,28,0,0,0,0,1,0
s0001,29,0,0,0,0,1,0
s0001,30,0,0,0,0,1,0
s0001,31,0,0,0,0,1,0
s0001,32,0,0,0,0,1,0
s0001,33,0,0,0,0,1,0
s0001,34,0,0,0,0,1,0
s0001,35,0,0,0,0,1,0
s0001,36,0,0,0,0,1,0
s0001,37,0,0,0,0,1,0
s0001,38,0,0,0,0,1,0
s0001,39,0,0,0,0,1,0
s0001,40,0,0,0,0,1,0
s0001,41,0,0,0,0,1,0
s0001,42,0,0,0,0,1,0
s0001,43,0,0,0,0,1,0
s0001,44,0,0,0,0,1,0
s0001,45,0,0,0,0,1,0
s0001,46,0,0,0,0,1,0
s0001,47,0,0,0,0,1,0
s0001,48,0,0,0,0,1,0
s0001,49,0,0,0,0,1,0
s0001,50,0,0,0,0,1,0
s0001,51,0,0,0,0,1,0
s0001,52,0,0,0,0,1,0
s0001,53,0,0,0,0,1,0
s0001,54,0,0,0,0,1,0
s0001,55,0,0,0,0,1,0
s0001,56,0,0,0,0,1,0
s0001,57,0,0,0,0,1,0
s0001,58,0,0,0,0,1,0
s0001,59,0,0,0,0,1,0
s0001,60,0,0,0,0,1,0
s0001,61,0,0,0,0,1,0
s0001,62,0,0,0,0,1,0
s0001,63,0,0,0,0,1,0
s0001,64,0,0,0,0,1,0
s0001,65,0,0,0,0,1,0
s0001,66,0,0,0,0,1,0
s0001,67,0,0,0,0,1,0
s0001,68,0,0,0,0,1,0
s0001,69,0,0,0,0,1,0
s0001,70,0,0,0,0,1,0
s0001,71,0,0,0,0,1,0
s0001,72,0,0,0,0,1,0
s0001,73,0,0,0,0,1,0
s0001,74,0,0,0,0,1,0
s0001,75,0,0,0,0,1,0
s0001,76,0,0,0,0,1,0
s0001,77,0,0,0,0,1,0
s0001,78,0,0,0,0,1,0
s0001,79,0,0,0,0,1,0
s0001,80,0,0,0,0,1,0
s0001,81,0,0,0,0,1,0
s0001,82,0,0,0,0,1,0
s0001,83,0,0,0,0,1,0
s0001,84,0,0,0,0,1,0
s0001,85,0,0,0,0,1,0
s0001,86,0,0,0,0,1,0
s0001,87,0,0,0,0,1,0
s0001,88,0,0,0,0,1,0
s0001,89,0,0,0,0,1,0
s0001,90,0,0,0,0,1,0
s0001,91,0,0,0,0,1,0
s0001,92,0,0,0,0,1,0
s0001,93,0,0,0,0,1,0
s0001,94,0,0,0,0,1,0
s0001,95,0,0,0,0,1,0
s0001,96,0,0,0,0,1,0
s0001,97,0,0,0,0,1,0
s0001,98,0,0,0,0,1,0
s0001,99,0,0,0,0,1,0
s0001,100,0,0,0,0,1,0
s0001,101,0,0,0,0,1,0
s0001,102,0,0,0,0,1,0
s0001,103,0,0,0,0,1,0
s0001,104,0,0,0,0,1,0
s0001,105,0,0,0,0,1,0
s0001,106,0,0,0,0,1,0
s0001,107,0,0,0,0,1,0
s0001,108,0,0,0,0,1,0
s0001,109,0,0,0,0,1,0
s0001,110,0,0,0,0,1,0
s0001,111,0,0,0,0,1,0
s0001,112,0,0,0,0,1,0
s0001,113,0,0,0,0,1,0
s0001,114,0,0,0,0,1,0
s0001,115,0,0,0,0,1,0
s0001,116,0,0,0,0,1,0
s0001,117,0,0,0,0,1,0
s0001,118,0,0,0,0,1,0
s0001,119,0,0,0,0,1,0
s0001,120,0,0,0,0,1,0
s0001,121,0,0,0,0,1,0
s0001,122,0,0,0,0,1,0
s0001,123,0,0,0,0,1,0
s0001,124,0,0,0,0,1,0
s0001,125,0,0,0,0,1,0
s0001,126,0,0,0,0,1,0
s0001,127,0,0,0,0,1,0
s0001,128,0,0,0,0,1,0
s0001,129,0,0,0,0,1,0
s0001,130,0,0,0,0,1,0
s0001,131,0,0,0,0,1,0
s0001,132,0,0,0,0,1,0
s0001,133,0,0,0,0,1,0
s0001,134,0,0,0,0,1,0
s0001,135,0,0,0,0,1,0
s0001,136,0,0,0,0,1,0
s0001,137,0,0,0,0,1,0
s0001,138,0,0,0,0,1,0
s0001,139,0,0,0,0,1,0
s0001,140,0,0,0,0,1,0
s0001,141,0,0,0,0,1,0
s0001,142,0,0,0,0,1,0
s0001,143,0,0,0,0,1,0
s0001,144,0,0,0,0,1,0
s0001,145,0,0,0,0,1,0
s0001,146,0,0,0,0,1,0
s0001,147,0,0,0,0,1,0
s0001,148,0,0,0,0,1,0
s0001,149,0,0,0,0,1,0
s0001,150,0,0,0,0,1,0
s0001,151,0,0,0,0,1,0
s0001,152,0,0,0,0,1,0
s0001,153,0,0,0,0,1,0
s0001,154,0,0,0,0,1,0
s0001,155,0,0,0,0,1,0
s0001,156,0,0,0,0,1,0
s0001,157,0,0,0,0,1,0
s0001,158,0,0,0,0,1,0
s0001,159,0,0,0,0,1,0
s0001,160,0,0,0,0,1,0
s0001,161,0,0,0,0,1,0
s0001,162,0,0,0,0,1,0
s0001,163,0,0,0,0,1,0
s0001,164,0,0,0,0,1,0
s0001,165,0,0,0,0,1,0
s0001,166,0,0,0,0,1,0
s0001,167,0,0,0,0,1,0
s0001,168,0,0,0,0,1,0
s0001,169,0,0,0,0,1,0
s0001,170,0,0,0,0,1,0
s0001,171,0,0,0,0,1,0
s0001,172,0,0,0,0,1,0
s0001,173,0,0,0,0,1,0
s0001,174,0,0,0,0,1,0
s0001,175,0,0,0,0,1,0
s0001,176,0,0,0,0,1,0
s0001,177,0,0,0,0,1,0
s0001,178,0,0,0,0,1,0
s0001,179,0,0,0,0,1,0
s0001,180,0,0,0,0,1,0
s0001,181,0,0,0,0,1,0
s0001,182,0,0,0,0,1,0
s0001,183,0,0,0,0,1,0
s0001,184,0,0,0,0,1,0
s0001,185,0,0,0,0,1,0
s0001,186,0,0,0,0,1,0
s0001,187,0,0,0,0,1,0
s0001,188,0,0,0,0,1,0
s0001,189,0,0,0,0,1,0
s0001,190,0,0,0,1,1,0
s0001,191,0,0,0,0,1,0
s0001,192,0,0,0,1,1,0
s0001,193,0,0,0,0,1,0
s0001,194,0,0,0,1,1,0
s0001,195,0,0,0,0,1,0
s0001,196,0,0,0,0,1,0
s0001,197,0,0,0,0,1,0
s0001,198,0,0,0,0,1,0
s0001,199,0,0,0,0,1,0
s0001,200,0,0,0,0,1,0
s0001,201,0,0,0,0,1,0
s0001,202,0,0,0,0,1,0
s0001,203,0,0,0,0,1,0
s0001,204,0,0,0,0,1,0
s0001,205,0,0,0,0,1,0
s0001,206,0,0,0,0,1,0
s0001,207,0,0,0,0,1,0
s0001,208,0,0,0,0,1,0
s0001,209,0,0,0,0,1,0
s0001,210,0,0,0,0,1,0
s0001,211,0,0,0,0,1,0
s0001,212,0,0,0,0,1,0
s0001,213,0,0,0,0,1,0
s0001,214,0,0,0,0,1,0
s0001,215,0,0,0,0,1,0
s0001,216,0,0,0,0,1,0
s0001,217,0,0,0,0,1,0
s0001,218,0,0,0,0,1,0
s0001,219,0,0,0,0,1,0
s0001,220,0,0,0,0,1,0
s0001,221,0,0,0,0,1,0
s0001,222,0,0,0,0,1,0
s0001,223,0,0,0,0,1,0
s0001,224,0,0,0,0,1,0
s0001,225,0,0,0,0,1,0
s0001,226,0,0,0,0,1,0
s0001,227,0,0,0,0,1,0
s0001,228,0,0,0,0,1,0
